State Name,City Name,Month,Day of Week,Weather Conditions,Accident Location Details
Bihar,Some City,June,Tuesday,Stormy,Curve
Odisha,Some City,September,Friday,Stormy,Curve
Telangana,Some City,July,Friday,Hazy,Intersection
Andhra Pradesh,Visakhapatnam,December,Thursday,Clear,Curve
Chhattisgarh,Some City,May,Friday,Foggy,Intersection
Madhya Pradesh,Some City,November,Thursday,Stormy,Curve
Assam,Some City,August,Sunday,Rainy,Curve
Nagaland,Some City,March,Monday,Foggy,Curve
Arunachal Pradesh,Some City,June,Sunday,Hazy,Curve
Puducherry,Some City,July,Friday,Clear,Curve
Tamil Nadu,Chennai,April,Saturday,Hazy,Curve
Assam,Some City,November,Saturday,Foggy,Intersection
Manipur,Some City,April,Monday,Clear,Intersection
Uttarakhand,Some City,July,Wednesday,Hazy,Curve
Delhi,New Delhi,January,Saturday,Clear,Intersection
Bihar,Some City,March,Saturday,Stormy,Intersection
Tripura,Some City,September,Friday,Rainy,Curve
Telangana,Some City,October,Thursday,Hazy,Curve
Puducherry,Some City,December,Wednesday,Hazy,Curve
Chandigarh,Some City,August,Thursday,Clear,Curve
Himachal Pradesh,Some City,December,Friday,Clear,Curve
Tamil Nadu,Coimbatore,January,Sunday,Foggy,Curve
Karnataka,Mangalore,August,Monday,Rainy,Intersection
Madhya Pradesh,Some City,September,Saturday,Rainy,Curve
Kerala,Some City,July,Saturday,Rainy,Curve
Assam,Some City,December,Saturday,Stormy,Intersection
Haryana,Some City,March,Monday,Clear,Curve
Punjab,Some City,July,Saturday,Clear,Intersection
Assam,Some City,January,Sunday,Foggy,Curve
Sikkim,Some City,June,Saturday,Rainy,Curve
Tripura,Some City,February,Wednesday,Clear,Intersection
West Bengal,Durgapur,July,Saturday,Clear,Intersection
Tripura,Some City,April,Wednesday,Foggy,Curve
Bihar,Some City,January,Sunday,Foggy,Intersection
Rajasthan,Udaipur,February,Tuesday,Hazy,Intersection
Jharkhand,Some City,June,Tuesday,Stormy,Curve
Punjab,Some City,June,Monday,Hazy,Intersection
Uttarakhand,Some City,June,Monday,Hazy,Curve
Himachal Pradesh,Some City,November,Monday,Rainy,Intersection
Gujarat,Ahmedabad,June,Wednesday,Hazy,Intersection
Uttar Pradesh,Varanasi,October,Tuesday,Stormy,Curve
Karnataka,Mangalore,January,Tuesday,Hazy,Curve
Madhya Pradesh,Some City,February,Thursday,Clear,Curve
Uttarakhand,Some City,November,Sunday,Stormy,Curve
Goa,Some City,February,Friday,Hazy,Intersection
Chhattisgarh,Some City,November,Friday,Stormy,Intersection
Maharashtra,Pune,May,Thursday,Stormy,Intersection
Himachal Pradesh,Some City,March,Tuesday,Stormy,Intersection
Nagaland,Some City,January,Wednesday,Foggy,Intersection
Karnataka,Mysore,March,Friday,Clear,Curve
Manipur,Some City,May,Wednesday,Hazy,Intersection
Arunachal Pradesh,Some City,November,Monday,Rainy,Curve
Goa,Some City,August,Thursday,Clear,Intersection
Manipur,Some City,January,Wednesday,Foggy,Intersection
Kerala,Some City,December,Friday,Hazy,Curve
Arunachal Pradesh,Some City,December,Thursday,Rainy,Curve
Odisha,Some City,November,Thursday,Foggy,Curve
Kerala,Some City,October,Tuesday,Stormy,Curve
Telangana,Some City,September,Wednesday,Clear,Curve
Karnataka,Mysore,March,Wednesday,Hazy,Intersection
West Bengal,Kolkata,May,Friday,Foggy,Intersection
Jammu and Kashmir,Some City,January,Saturday,Hazy,Curve
Kerala,Some City,January,Thursday,Clear,Intersection
Madhya Pradesh,Some City,November,Wednesday,Clear,Curve
Meghalaya,Some City,March,Thursday,Hazy,Intersection
Goa,Some City,May,Friday,Rainy,Intersection
Telangana,Some City,June,Monday,Stormy,Curve
Tripura,Some City,January,Friday,Rainy,Intersection
Meghalaya,Some City,March,Sunday,Foggy,Curve
Telangana,Some City,February,Friday,Clear,Curve
West Bengal,Siliguri,August,Saturday,Foggy,Intersection
Chandigarh,Some City,January,Thursday,Hazy,Intersection
Jharkhand,Some City,July,Wednesday,Rainy,Intersection
Maharashtra,Pune,February,Tuesday,Foggy,Intersection
Andhra Pradesh,Vijayawada,October,Tuesday,Hazy,Curve
Delhi,New Delhi,May,Sunday,Stormy,Curve
Gujarat,Surat,June,Thursday,Clear,Intersection
Assam,Some City,May,Tuesday,Foggy,Curve
Andhra Pradesh,Tirupati,November,Friday,Stormy,Intersection
Goa,Some City,February,Monday,Foggy,Intersection
Nagaland,Some City,July,Sunday,Stormy,Intersection
West Bengal,Kolkata,May,Tuesday,Hazy,Intersection
Jammu and Kashmir,Some City,August,Sunday,Stormy,Intersection
Manipur,Some City,October,Thursday,Clear,Curve
West Bengal,Durgapur,September,Thursday,Foggy,Curve
Himachal Pradesh,Some City,March,Sunday,Foggy,Curve
Nagaland,Some City,September,Thursday,Stormy,Intersection
Punjab,Some City,September,Thursday,Hazy,Intersection
Himachal Pradesh,Some City,January,Tuesday,Hazy,Intersection
Haryana,Some City,January,Friday,Stormy,Intersection
Mizoram,Some City,January,Wednesday,Hazy,Intersection
Sikkim,Some City,August,Friday,Rainy,Curve
Meghalaya,Some City,February,Tuesday,Foggy,Intersection
Chhattisgarh,Some City,July,Monday,Clear,Intersection
Gujarat,Surat,December,Thursday,Clear,Intersection
Chhattisgarh,Some City,October,Saturday,Rainy,Curve
Assam,Some City,September,Saturday,Clear,Intersection
Tripura,Some City,July,Thursday,Foggy,Intersection
Bihar,Some City,January,Thursday,Foggy,Intersection
Goa,Some City,August,Wednesday,Clear,Intersection
Mizoram,Some City,June,Tuesday,Stormy,Intersection
West Bengal,Kolkata,December,Sunday,Hazy,Curve
Manipur,Some City,August,Sunday,Stormy,Intersection
Maharashtra,Nagpur,December,Sunday,Clear,Intersection
Mizoram,Some City,January,Tuesday,Rainy,Curve
Haryana,Some City,January,Sunday,Clear,Intersection
Bihar,Some City,December,Tuesday,Rainy,Curve
Chandigarh,Some City,August,Monday,Foggy,Curve
Goa,Some City,March,Saturday,Hazy,Curve
Assam,Some City,August,Sunday,Hazy,Intersection
Meghalaya,Some City,May,Sunday,Foggy,Intersection
Odisha,Some City,January,Saturday,Clear,Curve
Manipur,Some City,February,Thursday,Foggy,Curve
Maharashtra,Nagpur,April,Wednesday,Rainy,Curve
Delhi,New Delhi,December,Thursday,Hazy,Curve
Assam,Some City,September,Friday,Foggy,Curve
Delhi,Rohini,June,Thursday,Rainy,Curve
Gujarat,Vadodara,January,Thursday,Hazy,Curve
Kerala,Some City,October,Friday,Stormy,Intersection
Puducherry,Some City,August,Sunday,Foggy,Intersection
Gujarat,Ahmedabad,April,Monday,Rainy,Curve
Uttarakhand,Some City,July,Wednesday,Foggy,Curve
Delhi,Rohini,October,Tuesday,Stormy,Curve
Arunachal Pradesh,Some City,December,Wednesday,Rainy,Curve
Uttar Pradesh,Varanasi,June,Monday,Stormy,Intersection
Goa,Some City,March,Saturday,Clear,Curve
Delhi,Dwarka,June,Tuesday,Hazy,Intersection
Uttar Pradesh,Lucknow,September,Monday,Rainy,Intersection
Nagaland,Some City,April,Sunday,Hazy,Intersection
Karnataka,Mysore,September,Thursday,Foggy,Intersection
Tripura,Some City,March,Sunday,Rainy,Curve
Chhattisgarh,Some City,April,Tuesday,Stormy,Curve
Uttarakhand,Some City,June,Monday,Stormy,Curve
Arunachal Pradesh,Some City,September,Sunday,Hazy,Intersection
Rajasthan,Udaipur,April,Tuesday,Hazy,Intersection
Mizoram,Some City,May,Monday,Clear,Intersection
Meghalaya,Some City,April,Sunday,Foggy,Intersection
Tripura,Some City,September,Tuesday,Clear,Intersection
Mizoram,Some City,April,Thursday,Hazy,Intersection
Mizoram,Some City,June,Sunday,Hazy,Curve
Bihar,Some City,March,Monday,Rainy,Intersection
Jharkhand,Some City,September,Sunday,Clear,Intersection
Jammu and Kashmir,Some City,March,Friday,Hazy,Curve
Odisha,Some City,November,Wednesday,Rainy,Curve
Himachal Pradesh,Some City,July,Saturday,Hazy,Curve
Jharkhand,Some City,December,Thursday,Foggy,Curve
Chandigarh,Some City,June,Saturday,Rainy,Intersection
Telangana,Some City,November,Monday,Rainy,Curve
Madhya Pradesh,Some City,April,Tuesday,Rainy,Intersection
Rajasthan,Udaipur,February,Tuesday,Rainy,Intersection
Punjab,Some City,March,Thursday,Hazy,Intersection
Chandigarh,Some City,January,Monday,Foggy,Curve
Jammu and Kashmir,Some City,June,Sunday,Stormy,Curve
Haryana,Some City,May,Wednesday,Clear,Curve
Haryana,Some City,May,Sunday,Clear,Curve
Puducherry,Some City,November,Thursday,Clear,Intersection
Himachal Pradesh,Some City,May,Tuesday,Foggy,Intersection
Delhi,Dwarka,March,Thursday,Clear,Intersection
Jharkhand,Some City,September,Friday,Clear,Intersection
Jammu and Kashmir,Some City,October,Wednesday,Stormy,Curve
Rajasthan,Udaipur,September,Friday,Foggy,Intersection
Punjab,Some City,March,Tuesday,Rainy,Curve
Sikkim,Some City,March,Monday,Hazy,Curve
Maharashtra,Mumbai,December,Monday,Stormy,Curve
Assam,Some City,June,Friday,Clear,Intersection
Sikkim,Some City,January,Thursday,Stormy,Intersection
Mizoram,Some City,June,Wednesday,Stormy,Intersection
Chhattisgarh,Some City,October,Thursday,Rainy,Intersection
Jharkhand,Some City,September,Thursday,Clear,Curve
Bihar,Some City,August,Wednesday,Clear,Curve
Chhattisgarh,Some City,October,Monday,Stormy,Intersection
Meghalaya,Some City,February,Friday,Rainy,Intersection
Kerala,Some City,May,Thursday,Clear,Curve
Kerala,Some City,December,Monday,Stormy,Curve
Maharashtra,Pune,July,Tuesday,Rainy,Curve
Mizoram,Some City,March,Friday,Rainy,Intersection
Meghalaya,Some City,August,Friday,Clear,Intersection
Gujarat,Surat,November,Sunday,Stormy,Intersection
Puducherry,Some City,October,Friday,Rainy,Curve
Uttar Pradesh,Kanpur,March,Friday,Stormy,Intersection
Meghalaya,Some City,June,Sunday,Hazy,Curve
Himachal Pradesh,Some City,October,Monday,Stormy,Intersection
Puducherry,Some City,October,Sunday,Rainy,Intersection
Gujarat,Surat,May,Tuesday,Clear,Curve
Tamil Nadu,Coimbatore,September,Thursday,Stormy,Intersection
Sikkim,Some City,June,Monday,Clear,Curve
Chandigarh,Some City,July,Thursday,Rainy,Intersection
Odisha,Some City,March,Friday,Rainy,Curve
Punjab,Some City,June,Thursday,Foggy,Curve
Delhi,Dwarka,April,Sunday,Rainy,Curve
Goa,Some City,April,Friday,Clear,Intersection
Rajasthan,Jodhpur,May,Thursday,Foggy,Curve
Manipur,Some City,March,Sunday,Stormy,Intersection
Odisha,Some City,November,Wednesday,Clear,Curve
Meghalaya,Some City,November,Monday,Rainy,Curve
Rajasthan,Udaipur,June,Saturday,Hazy,Intersection
Maharashtra,Pune,September,Wednesday,Clear,Intersection
Nagaland,Some City,March,Saturday,Clear,Curve
Delhi,Dwarka,September,Thursday,Stormy,Curve
Arunachal Pradesh,Some City,September,Wednesday,Foggy,Intersection
Arunachal Pradesh,Some City,October,Monday,Clear,Intersection
Jharkhand,Some City,September,Wednesday,Rainy,Curve
Meghalaya,Some City,June,Wednesday,Clear,Intersection
Punjab,Some City,January,Saturday,Rainy,Intersection
Himachal Pradesh,Some City,December,Wednesday,Hazy,Intersection
Gujarat,Ahmedabad,October,Monday,Foggy,Curve
Arunachal Pradesh,Some City,April,Saturday,Hazy,Intersection
Jharkhand,Some City,June,Wednesday,Stormy,Curve
Assam,Some City,January,Thursday,Foggy,Intersection
Maharashtra,Mumbai,February,Monday,Stormy,Intersection
Telangana,Some City,June,Friday,Foggy,Intersection
Nagaland,Some City,August,Sunday,Hazy,Curve
Rajasthan,Jodhpur,August,Wednesday,Stormy,Curve
Odisha,Some City,May,Wednesday,Stormy,Intersection
Arunachal Pradesh,Some City,December,Monday,Hazy,Intersection
Madhya Pradesh,Some City,May,Sunday,Hazy,Curve
Delhi,Dwarka,February,Thursday,Foggy,Intersection
Goa,Some City,June,Tuesday,Clear,Curve
Uttar Pradesh,Kanpur,September,Sunday,Hazy,Intersection
Mizoram,Some City,August,Sunday,Rainy,Intersection
Arunachal Pradesh,Some City,November,Tuesday,Hazy,Curve
Sikkim,Some City,July,Thursday,Rainy,Intersection
Uttarakhand,Some City,February,Friday,Hazy,Curve
Uttarakhand,Some City,May,Monday,Stormy,Intersection
Mizoram,Some City,December,Friday,Clear,Curve
Sikkim,Some City,September,Wednesday,Stormy,Curve
Arunachal Pradesh,Some City,July,Wednesday,Rainy,Curve
Telangana,Some City,May,Thursday,Stormy,Intersection
Andhra Pradesh,Tirupati,April,Tuesday,Hazy,Intersection
Andhra Pradesh,Tirupati,May,Tuesday,Hazy,Curve
Telangana,Some City,October,Friday,Clear,Curve
Uttar Pradesh,Varanasi,June,Wednesday,Stormy,Intersection
Mizoram,Some City,May,Friday,Hazy,Intersection
Nagaland,Some City,August,Tuesday,Hazy,Intersection
Meghalaya,Some City,April,Thursday,Clear,Intersection
Arunachal Pradesh,Some City,October,Saturday,Foggy,Curve
Himachal Pradesh,Some City,August,Tuesday,Stormy,Intersection
Jammu and Kashmir,Some City,July,Friday,Rainy,Intersection
Bihar,Some City,December,Friday,Hazy,Intersection
Goa,Some City,September,Monday,Clear,Curve
Chandigarh,Some City,August,Friday,Clear,Intersection
Jharkhand,Some City,February,Tuesday,Hazy,Curve
Manipur,Some City,February,Thursday,Rainy,Intersection
Jharkhand,Some City,July,Wednesday,Clear,Curve
Madhya Pradesh,Some City,April,Wednesday,Rainy,Intersection
Punjab,Some City,July,Tuesday,Rainy,Curve
Chhattisgarh,Some City,November,Wednesday,Stormy,Curve
Madhya Pradesh,Some City,February,Sunday,Hazy,Intersection
Sikkim,Some City,February,Wednesday,Hazy,Intersection
Sikkim,Some City,August,Monday,Clear,Curve
Assam,Some City,November,Friday,Foggy,Intersection
Puducherry,Some City,April,Wednesday,Foggy,Curve
Tamil Nadu,Coimbatore,August,Sunday,Clear,Curve
Chandigarh,Some City,January,Tuesday,Stormy,Intersection
Uttarakhand,Some City,September,Tuesday,Stormy,Curve
Chhattisgarh,Some City,May,Monday,Clear,Intersection
Delhi,Rohini,January,Wednesday,Stormy,Intersection
Goa,Some City,December,Monday,Hazy,Intersection
Odisha,Some City,September,Tuesday,Hazy,Curve
Uttarakhand,Some City,August,Friday,Foggy,Intersection
Madhya Pradesh,Some City,November,Thursday,Rainy,Curve
Chhattisgarh,Some City,July,Monday,Hazy,Curve
Rajasthan,Jodhpur,September,Tuesday,Stormy,Intersection
Goa,Some City,October,Saturday,Rainy,Curve
Jharkhand,Some City,October,Tuesday,Clear,Intersection
Puducherry,Some City,November,Friday,Stormy,Curve
Bihar,Some City,March,Friday,Hazy,Intersection
Odisha,Some City,October,Tuesday,Foggy,Intersection
Andhra Pradesh,Tirupati,April,Thursday,Clear,Intersection
Tripura,Some City,March,Wednesday,Rainy,Intersection
Maharashtra,Pune,June,Friday,Rainy,Curve
Andhra Pradesh,Vijayawada,May,Thursday,Foggy,Intersection
Bihar,Some City,January,Wednesday,Clear,Intersection
Assam,Some City,January,Saturday,Hazy,Intersection
Odisha,Some City,July,Sunday,Hazy,Intersection
Rajasthan,Jaipur,June,Friday,Rainy,Curve
Karnataka,Mysore,August,Thursday,Foggy,Intersection
Sikkim,Some City,November,Monday,Rainy,Intersection
Chhattisgarh,Some City,September,Monday,Foggy,Curve
Kerala,Some City,December,Monday,Hazy,Intersection
Bihar,Some City,May,Wednesday,Foggy,Intersection
Chandigarh,Some City,December,Sunday,Foggy,Curve
Tripura,Some City,March,Thursday,Clear,Curve
Kerala,Some City,March,Wednesday,Clear,Curve
Delhi,New Delhi,April,Monday,Stormy,Curve
Nagaland,Some City,December,Monday,Rainy,Curve
Mizoram,Some City,October,Tuesday,Clear,Intersection
Mizoram,Some City,September,Tuesday,Stormy,Curve
Sikkim,Some City,April,Saturday,Foggy,Intersection
Punjab,Some City,March,Sunday,Hazy,Curve
Chandigarh,Some City,May,Tuesday,Clear,Curve
Puducherry,Some City,December,Sunday,Hazy,Curve
Odisha,Some City,April,Thursday,Foggy,Intersection
Punjab,Some City,October,Monday,Rainy,Curve
Arunachal Pradesh,Some City,June,Saturday,Hazy,Intersection
Jammu and Kashmir,Some City,April,Sunday,Foggy,Intersection
Chandigarh,Some City,January,Monday,Stormy,Curve
Gujarat,Vadodara,January,Thursday,Hazy,Intersection
Delhi,Dwarka,May,Friday,Hazy,Intersection
Madhya Pradesh,Some City,December,Thursday,Rainy,Curve
Meghalaya,Some City,October,Saturday,Rainy,Intersection
Sikkim,Some City,March,Sunday,Rainy,Intersection
Delhi,New Delhi,August,Wednesday,Foggy,Intersection
West Bengal,Kolkata,May,Wednesday,Clear,Curve
West Bengal,Durgapur,July,Saturday,Hazy,Curve
Chhattisgarh,Some City,May,Friday,Foggy,Curve
Uttarakhand,Some City,December,Friday,Hazy,Curve
Tamil Nadu,Madurai,December,Wednesday,Stormy,Curve
Sikkim,Some City,July,Wednesday,Clear,Curve
Goa,Some City,June,Friday,Stormy,Intersection
Puducherry,Some City,July,Friday,Foggy,Intersection
Meghalaya,Some City,March,Thursday,Foggy,Curve
Telangana,Some City,November,Thursday,Rainy,Curve
Mizoram,Some City,July,Wednesday,Rainy,Curve
Mizoram,Some City,February,Sunday,Foggy,Curve
Telangana,Some City,December,Sunday,Clear,Intersection
Chhattisgarh,Some City,January,Saturday,Hazy,Intersection
Kerala,Some City,July,Saturday,Rainy,Curve
Delhi,Dwarka,October,Wednesday,Foggy,Intersection
West Bengal,Siliguri,March,Sunday,Rainy,Curve
Bihar,Some City,December,Monday,Hazy,Intersection
Maharashtra,Pune,April,Monday,Rainy,Intersection
Jammu and Kashmir,Some City,March,Monday,Hazy,Intersection
Arunachal Pradesh,Some City,July,Friday,Clear,Intersection
Bihar,Some City,December,Monday,Hazy,Curve
Gujarat,Ahmedabad,December,Friday,Foggy,Curve
Maharashtra,Pune,February,Saturday,Rainy,Intersection
West Bengal,Kolkata,December,Thursday,Stormy,Curve
Maharashtra,Pune,February,Wednesday,Stormy,Intersection
Puducherry,Some City,March,Thursday,Hazy,Curve
Tamil Nadu,Coimbatore,December,Saturday,Hazy,Curve
Andhra Pradesh,Visakhapatnam,November,Tuesday,Stormy,Intersection
Kerala,Some City,October,Wednesday,Foggy,Curve
Andhra Pradesh,Tirupati,April,Monday,Stormy,Intersection
Goa,Some City,September,Sunday,Clear,Curve
Chhattisgarh,Some City,April,Tuesday,Rainy,Intersection
Mizoram,Some City,February,Thursday,Rainy,Intersection
Uttar Pradesh,Lucknow,November,Tuesday,Clear,Curve
Kerala,Some City,February,Sunday,Hazy,Curve
Uttar Pradesh,Varanasi,September,Saturday,Clear,Curve
Kerala,Some City,February,Monday,Stormy,Intersection
Odisha,Some City,June,Thursday,Rainy,Curve
Delhi,Dwarka,October,Tuesday,Hazy,Intersection
Gujarat,Surat,April,Saturday,Stormy,Curve
Nagaland,Some City,March,Saturday,Stormy,Curve
Gujarat,Surat,January,Wednesday,Rainy,Curve
Mizoram,Some City,August,Monday,Clear,Curve
Madhya Pradesh,Some City,June,Tuesday,Foggy,Curve
Meghalaya,Some City,October,Monday,Stormy,Curve
Madhya Pradesh,Some City,November,Friday,Hazy,Intersection
Maharashtra,Nagpur,March,Sunday,Clear,Curve
Assam,Some City,September,Tuesday,Rainy,Intersection
Tamil Nadu,Madurai,October,Monday,Foggy,Intersection
Delhi,New Delhi,January,Wednesday,Rainy,Intersection
Goa,Some City,September,Wednesday,Rainy,Intersection
Himachal Pradesh,Some City,December,Saturday,Clear,Intersection
West Bengal,Kolkata,March,Saturday,Hazy,Curve
Nagaland,Some City,February,Monday,Stormy,Intersection
Puducherry,Some City,December,Monday,Rainy,Curve
Jharkhand,Some City,August,Tuesday,Rainy,Intersection
Telangana,Some City,July,Wednesday,Foggy,Intersection
Goa,Some City,July,Tuesday,Hazy,Intersection
Punjab,Some City,August,Wednesday,Rainy,Curve
Uttar Pradesh,Lucknow,October,Wednesday,Rainy,Curve
Nagaland,Some City,February,Thursday,Clear,Curve
Jammu and Kashmir,Some City,October,Tuesday,Rainy,Intersection
Delhi,Rohini,February,Tuesday,Rainy,Intersection
Karnataka,Mangalore,March,Friday,Clear,Intersection
Karnataka,Mangalore,August,Tuesday,Clear,Intersection
Manipur,Some City,November,Thursday,Foggy,Intersection
Rajasthan,Jaipur,October,Saturday,Rainy,Intersection
Tamil Nadu,Madurai,April,Thursday,Clear,Intersection
Arunachal Pradesh,Some City,January,Friday,Foggy,Intersection
Uttarakhand,Some City,February,Saturday,Stormy,Curve
Chhattisgarh,Some City,October,Tuesday,Clear,Intersection
Sikkim,Some City,August,Sunday,Stormy,Intersection
West Bengal,Siliguri,October,Sunday,Hazy,Intersection
Uttarakhand,Some City,August,Saturday,Hazy,Intersection
Maharashtra,Pune,May,Saturday,Stormy,Intersection
Manipur,Some City,February,Wednesday,Foggy,Intersection
Goa,Some City,March,Thursday,Foggy,Curve
Haryana,Some City,July,Sunday,Hazy,Curve
Uttar Pradesh,Kanpur,November,Friday,Stormy,Intersection
Assam,Some City,March,Thursday,Stormy,Intersection
Nagaland,Some City,January,Thursday,Foggy,Intersection
Punjab,Some City,September,Sunday,Stormy,Intersection
Gujarat,Surat,October,Sunday,Hazy,Curve
Uttarakhand,Some City,December,Friday,Clear,Curve
Maharashtra,Mumbai,January,Sunday,Foggy,Intersection
Madhya Pradesh,Some City,August,Sunday,Rainy,Intersection
Nagaland,Some City,December,Saturday,Stormy,Curve
Goa,Some City,January,Monday,Stormy,Curve
Karnataka,Mangalore,January,Wednesday,Foggy,Curve
Delhi,New Delhi,July,Saturday,Rainy,Intersection
Tripura,Some City,May,Saturday,Clear,Curve
Rajasthan,Jodhpur,October,Saturday,Hazy,Intersection
Uttar Pradesh,Kanpur,July,Thursday,Rainy,Curve
Puducherry,Some City,August,Thursday,Clear,Intersection
Rajasthan,Jodhpur,August,Sunday,Stormy,Intersection
Assam,Some City,March,Saturday,Stormy,Curve
Uttar Pradesh,Lucknow,March,Tuesday,Rainy,Curve
Kerala,Some City,June,Thursday,Stormy,Curve
Telangana,Some City,February,Monday,Clear,Curve
Madhya Pradesh,Some City,August,Wednesday,Clear,Curve
Assam,Some City,June,Friday,Foggy,Curve
Karnataka,Mysore,July,Sunday,Foggy,Curve
Mizoram,Some City,February,Monday,Foggy,Curve
Jammu and Kashmir,Some City,February,Monday,Clear,Intersection
Telangana,Some City,January,Friday,Clear,Intersection
Andhra Pradesh,Vijayawada,October,Thursday,Foggy,Intersection
Maharashtra,Pune,December,Wednesday,Rainy,Curve
Himachal Pradesh,Some City,March,Wednesday,Foggy,Intersection
Haryana,Some City,March,Sunday,Stormy,Curve
Jammu and Kashmir,Some City,December,Monday,Stormy,Curve
Punjab,Some City,August,Sunday,Hazy,Intersection
Kerala,Some City,October,Tuesday,Hazy,Intersection
Mizoram,Some City,July,Monday,Rainy,Intersection
Karnataka,Mysore,August,Saturday,Clear,Curve
West Bengal,Durgapur,March,Friday,Stormy,Intersection
Chhattisgarh,Some City,October,Tuesday,Clear,Curve
Jammu and Kashmir,Some City,November,Tuesday,Stormy,Curve
Madhya Pradesh,Some City,February,Tuesday,Rainy,Intersection
Meghalaya,Some City,July,Thursday,Hazy,Curve
Tamil Nadu,Chennai,March,Sunday,Rainy,Curve
Goa,Some City,October,Thursday,Rainy,Intersection
Arunachal Pradesh,Some City,December,Wednesday,Rainy,Intersection
Delhi,Rohini,January,Friday,Clear,Curve
Haryana,Some City,March,Wednesday,Rainy,Intersection
Jammu and Kashmir,Some City,January,Tuesday,Foggy,Intersection
Chhattisgarh,Some City,January,Friday,Rainy,Curve
Chandigarh,Some City,March,Sunday,Stormy,Curve
Odisha,Some City,November,Thursday,Foggy,Curve
Andhra Pradesh,Vijayawada,August,Thursday,Hazy,Curve
